hys,direction,style,x,y
beta-hys,->,scatter,0.35,0.9999999959999999
beta-hys,->,scatter,0.0,4.1999999999999996e-09
beta-hys,->,scatter,0.55,0.999999998
beta-hys,->,scatter,0.8,0.9999962287999999
beta-hys,->,scatter,0.95,0.9998993032
beta-hys,->,scatter,1.0,0.9999374631
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.1,0.009912319000000001
beta-hys,->,scatter,0.2,0.0508660317
beta-hys,->,scatter,0.7,0.9999999999
beta-hys,->,scatter,0.55,0.9999999959
beta-hys,->,scatter,0.8,0.9998675319
beta-hys,->,scatter,0.75,1.0
beta-hys,->,scatter,0.45,0.9999999751
beta-hys,->,scatter,0.1,0.0098760307
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.1,0.0079351333
beta-hys,->,scatter,0.4,0.9996696894
beta-hys,->,scatter,0.45,0.9999995681999999
beta-hys,->,scatter,0.3,0.14368046339999999
beta-hys,->,scatter,0.55,0.9976220161
beta-hys,->,scatter,0.2,0.0325262664
beta-hys,->,scatter,0.6,0.9999315877
beta-hys,->,scatter,0.2,0.0471613144
beta-hys,->,scatter,0.4,0.9999878728
beta-hys,->,scatter,0.35,0.9999156829000001
beta-hys,->,scatter,0.3,0.21213523539999998
beta-hys,->,scatter,1.0,0.9999961081000001
beta-hys,->,scatter,0.8,0.9999999243000001
beta-hys,->,scatter,0.7,0.9999999997
beta-hys,->,scatter,0.0,0.0
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.95,0.999999995
beta-hys,->,scatter,0.95,0.9982383344
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.8,0.9980484666
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.7,0.9999999918000001
beta-hys,->,scatter,0.55,0.9996876623000001
beta-hys,->,scatter,0.1,0.0077176362
beta-hys,->,scatter,0.7,0.9914491584
beta-hys,->,scatter,0.55,0.9999998388
beta-hys,->,scatter,0.7,0.9999999998000001
beta-hys,->,scatter,0.55,0.9999998251000001
beta-hys,->,scatter,0.35,0.9999999999
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.2,0.0720075709
beta-hys,->,scatter,0.8,0.9999999906999999
beta-hys,->,scatter,0.85,0.9987578229
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,1.0,0.9987804162
beta-hys,->,scatter,0.95,0.9999999753000001
beta-hys,->,scatter,0.6,0.999999999
beta-hys,->,scatter,0.85,0.9999998306
beta-hys,->,scatter,0.45,1.0
beta-hys,->,scatter,0.75,0.9997555037
beta-hys,->,scatter,0.15,0.0175111493
beta-hys,->,scatter,0.35,0.9989486294
beta-hys,->,scatter,0.25,0.0546878971
beta-hys,->,scatter,0.85,0.9999999959
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.15,0.0176171139
beta-hys,->,scatter,0.35,0.9999999776
beta-hys,->,scatter,0.8,0.9964965064
beta-hys,->,scatter,0.8,0.9999979696
beta-hys,->,scatter,0.2,0.038683345099999995
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.75,0.9999652126
beta-hys,->,scatter,0.05,0.0040383998
beta-hys,->,scatter,0.1,0.0085417853
beta-hys,->,scatter,0.25,0.062429833399999995
beta-hys,->,scatter,0.45,0.9998263104
beta-hys,->,scatter,0.9,0.9985046187000001
beta-hys,->,scatter,0.35,0.9999999804
beta-hys,->,scatter,0.25,0.06211904309999999
beta-hys,->,scatter,0.0,0.0008226586
beta-hys,->,scatter,0.15,0.0227805852
beta-hys,->,scatter,0.2,0.057437704400000004
beta-hys,->,scatter,0.1,0.0073196253
beta-hys,->,scatter,0.9,0.9999950565000001
beta-hys,->,scatter,0.8,0.9999999998000001
beta-hys,->,scatter,0.6,0.9999999995000001
beta-hys,->,scatter,0.7,0.9999915453
beta-hys,->,scatter,0.05,0.0018477624
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.15,0.0224654152
