hys,direction,style,x,y
alpha-hys,->,scatter,0.6599999999999999,0.9999999992
alpha-hys,->,scatter,0.83,0.9980754137000001
alpha-hys,->,scatter,0.69,0.9992477758
alpha-hys,->,scatter,0.97,0.9908034937000001
alpha-hys,->,scatter,0.75,0.9991391464
alpha-hys,->,scatter,0.51,1.0
alpha-hys,->,scatter,0.040000000000000036,0.0043337429
alpha-hys,->,scatter,0.30000000000000004,1.0
alpha-hys,->,scatter,0.31999999999999995,1.0
alpha-hys,->,scatter,1.0,0.9901347665000001
alpha-hys,->,scatter,0.32999999999999996,0.9998920015999999
alpha-hys,->,scatter,0.62,0.9999999849
alpha-hys,->,scatter,0.73,0.9993688640999999
alpha-hys,->,scatter,0.48,0.9999992559
alpha-hys,->,scatter,0.5900000000000001,0.9999999806000001
alpha-hys,->,scatter,0.41000000000000003,0.9999992222
alpha-hys,->,scatter,0.76,0.9999848479000001
alpha-hys,->,scatter,0.55,0.9999999129000001
alpha-hys,->,scatter,0.55,0.9979219173999999
alpha-hys,->,scatter,0.54,0.9999999838
alpha-hys,->,scatter,0.32999999999999996,1.0
alpha-hys,->,scatter,0.75,0.9942115197
alpha-hys,->,scatter,0.0,0.045787664900000004
alpha-hys,->,scatter,0.92,0.9905108466
alpha-hys,->,scatter,0.07999999999999996,0.0277816075
alpha-hys,->,scatter,0.35,1.0
alpha-hys,->,scatter,0.97,0.9929300896
alpha-hys,->,scatter,0.87,0.9946303473
alpha-hys,->,scatter,0.9,0.9709483189
alpha-hys,->,scatter,0.39,0.9995312170999999
alpha-hys,->,scatter,0.97,0.9942778429000001
alpha-hys,->,scatter,0.56,0.9999315990000001
alpha-hys,->,scatter,0.54,0.99932454
alpha-hys,->,scatter,0.5700000000000001,0.9999993609000001
alpha-hys,->,scatter,1.0,0.9921022536
alpha-hys,->,scatter,0.81,0.995767023
alpha-hys,->,scatter,0.010000000000000009,0.026300228399999997
alpha-hys,->,scatter,0.16000000000000003,0.0638675827
alpha-hys,->,scatter,0.6799999999999999,0.9973848877
alpha-hys,->,scatter,0.22999999999999998,0.1777723823
alpha-hys,->,scatter,0.24,0.1323395573
alpha-hys,->,scatter,0.54,1.0
alpha-hys,->,scatter,0.4,0.9979608146
alpha-hys,->,scatter,0.49,0.9999686467
alpha-hys,->,scatter,0.35,1.0
alpha-hys,->,scatter,0.35,0.9999999961
alpha-hys,->,scatter,0.7,0.9999999781000001
alpha-hys,->,scatter,0.52,0.9999996769
alpha-hys,->,scatter,0.21999999999999997,0.1160579126
alpha-hys,->,scatter,0.20999999999999996,0.1318972909
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.69,0.9970841944
alpha-hys,->,scatter,0.64,0.9999996508
alpha-hys,->,scatter,0.65,0.9999981624
alpha-hys,->,scatter,0.52,0.999539753
alpha-hys,->,scatter,0.6699999999999999,0.9994190017
alpha-hys,->,scatter,0.8200000000000001,0.9913962733
alpha-hys,->,scatter,0.24,0.1642868439
alpha-hys,->,scatter,0.89,0.999635941
alpha-hys,->,scatter,0.26,0.1235697721
alpha-hys,->,scatter,0.52,1.0
alpha-hys,->,scatter,0.6799999999999999,0.9999999982
alpha-hys,->,scatter,0.27,0.2100236768
alpha-hys,->,scatter,0.22999999999999998,0.1205957736
alpha-hys,->,scatter,0.92,0.9987103893000001
alpha-hys,->,scatter,0.56,0.99999344
alpha-hys,->,scatter,0.06999999999999995,0.0425413317
alpha-hys,->,scatter,0.10999999999999999,0.0672036366
alpha-hys,->,scatter,0.96,0.9939023912
alpha-hys,->,scatter,0.51,0.9999999595
alpha-hys,->,scatter,0.64,0.9998282234999999
alpha-hys,->,scatter,0.16000000000000003,0.07953041599999999
alpha-hys,->,scatter,0.81,0.9967458572
alpha-hys,->,scatter,0.75,0.9987851381
alpha-hys,->,scatter,0.25,0.1849475039
alpha-hys,->,scatter,0.16000000000000003,0.0768062707
alpha-hys,->,scatter,0.79,0.9992778795999999
alpha-hys,->,scatter,0.43999999999999995,1.0
alpha-hys,->,scatter,0.42000000000000004,0.999871915
alpha-hys,->,scatter,0.37,1.0
alpha-hys,->,scatter,0.29000000000000004,1.0
alpha-hys,->,scatter,0.38,1.0
alpha-hys,->,scatter,0.47,0.9988225492
alpha-hys,->,scatter,0.83,0.9915655921
alpha-hys,->,scatter,0.06999999999999995,0.055530051600000005
alpha-hys,->,scatter,0.37,1.0
alpha-hys,->,scatter,0.0,0.0168234584
alpha-hys,->,scatter,0.52,1.0
alpha-hys,->,scatter,0.71,0.9990627578
alpha-hys,->,scatter,0.8,0.9943723725
alpha-hys,->,scatter,0.25,0.16219444449999998
alpha-hys,->,scatter,0.12,0.0601614239
alpha-hys,->,scatter,0.63,0.9999999748999999
alpha-hys,->,scatter,0.48,0.9999999976
alpha-hys,->,scatter,0.89,0.9929915965
alpha-hys,->,scatter,0.84,0.9992715899
alpha-hys,->,scatter,0.53,1.0
alpha-hys,->,scatter,0.30000000000000004,1.0
alpha-hys,->,scatter,0.83,0.9997008329000001
alpha-hys,->,scatter,0.94,0.9931374509
alpha-hys,->,scatter,0.43999999999999995,1.0
alpha-hys,->,scatter,0.35,0.9999999999
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.31999999999999995,0.9999999996
alpha-hys,->,scatter,0.87,0.9977161762000001
alpha-hys,->,scatter,0.41000000000000003,0.9999999996
alpha-hys,->,scatter,0.54,0.9999999996
alpha-hys,->,scatter,0.08999999999999997,0.0548773256
alpha-hys,->,scatter,0.020000000000000018,0.0339388905
alpha-hys,->,scatter,0.07999999999999996,0.0422058753
alpha-hys,->,scatter,0.6599999999999999,0.9999989975
alpha-hys,->,scatter,0.55,0.9999987877
alpha-hys,->,scatter,0.45999999999999996,0.9999987031
alpha-hys,->,scatter,0.28,0.1844549161
