alpha,beta,direction,x,y
alpha,beta,direction,x,y
0.4,0.2,<-,0.0,0.11754934019999999
0.4,0.2,<-,0.05,0.10208924859999999
0.4,0.2,<-,0.1,0.1128517198
0.4,0.2,<-,0.15,0.0568924067
0.4,0.2,<-,0.2,0.0661470485
0.4,0.2,<-,0.25,0.048743969500000005
0.4,0.2,<-,0.3,0.0293089655
0.4,0.2,<-,0.35,0.0382065766
0.4,0.2,<-,0.4,0.0889169061
0.4,0.2,<-,0.45,0.0163973053
0.4,0.2,<-,0.5,0.024655806699999998
0.4,0.2,<-,0.55,0.0189600784
0.4,0.2,<-,0.6,0.1683888565
0.4,0.2,<-,0.65,0.0137591199
0.4,0.2,<-,0.7,0.3065154175
0.4,0.2,<-,0.75,0.0090810965
0.4,0.2,<-,0.8,0.2774682765
0.4,0.2,<-,0.85,0.37760971270000004
0.4,0.2,<-,0.9,0.3322559001
0.4,0.2,<-,0.95,0.270916258
alpha,beta,direction,x,y
0.4,0.4,->,0.0,0.9999861134
0.4,0.4,->,0.05,0.9999999663
0.4,0.4,->,0.1,1.0
0.4,0.4,->,0.15,0.9999987028
0.4,0.4,->,0.2,0.9999991665000001
0.4,0.4,->,0.25,0.9999999923999999
0.4,0.4,->,0.3,0.9999789912999999
0.4,0.4,->,0.35,1.0
0.4,0.4,->,0.4,1.0
0.4,0.4,->,0.45,1.0
0.4,0.4,->,0.5,0.9985425187
0.4,0.4,->,0.55,0.9855577303
0.4,0.4,->,0.6,0.8524714842
0.4,0.4,->,0.65,0.5824615633
0.4,0.4,->,0.7,0.0180248004
0.4,0.4,->,0.75,0.3019712663
0.4,0.4,->,0.8,0.3817736868
0.4,0.4,->,0.85,0.2718477576
0.4,0.4,->,0.9,0.1823923242
0.4,0.4,->,0.95,0.2629682204
alpha,beta,direction,x,y
0.4,0.4,<-,0.0,0.9999996795
0.4,0.4,<-,0.05,0.9999999268
0.4,0.4,<-,0.1,0.9999999654999999
0.4,0.4,<-,0.15,0.9999999997
0.4,0.4,<-,0.2,0.999795793
0.4,0.4,<-,0.25,0.9999981679000001
0.4,0.4,<-,0.3,0.9999999931
0.4,0.4,<-,0.35,0.9998781754
0.4,0.4,<-,0.4,0.998320924
0.4,0.4,<-,0.45,0.9967392554000001
0.4,0.4,<-,0.5,0.9979579107
0.4,0.4,<-,0.55,0.9117912848
0.4,0.4,<-,0.6,0.628276076
0.4,0.4,<-,0.65,0.5496807304
0.4,0.4,<-,0.7,0.2734135432
0.4,0.4,<-,0.75,0.2518816628
0.4,0.4,<-,0.8,0.46545976899999997
0.4,0.4,<-,0.85,0.40393988270000003
0.4,0.4,<-,0.9,0.40211548119999996
0.4,0.4,<-,0.95,0.1847280151
alpha,beta,direction,x,y
0.4,0.6,->,0.0,0.9999999608
0.4,0.6,->,0.05,0.9999999998000001
0.4,0.6,->,0.1,0.9999999998000001
0.4,0.6,->,0.15,1.0
0.4,0.6,->,0.2,0.9999919695
0.4,0.6,->,0.25,0.9996473912999999
0.4,0.6,->,0.3,0.9999544534999999
0.4,0.6,->,0.35,0.9999999993
0.4,0.6,->,0.4,0.9963544048
0.4,0.6,->,0.45,0.9999999995000001
0.4,0.6,->,0.5,0.9977744739
0.4,0.6,->,0.55,0.9999999942
0.4,0.6,->,0.6,0.9999530851
0.4,0.6,->,0.65,0.9544648136
0.4,0.6,->,0.7,0.9172628854000001
0.4,0.6,->,0.75,0.7176207461
0.4,0.6,->,0.8,0.49908826770000003
0.4,0.6,->,0.85,0.49374328520000005
0.4,0.6,->,0.9,0.3258256069
0.4,0.6,->,0.95,0.2747992105
alpha,beta,direction,x,y
0.4,0.6,<-,0.0,0.9999999377
0.4,0.6,<-,0.05,0.9999999994
0.4,0.6,<-,0.1,0.9998896342
0.4,0.6,<-,0.15,0.9999999945999999
0.4,0.6,<-,0.2,0.9998415734999999
0.4,0.6,<-,0.25,1.0
0.4,0.6,<-,0.3,0.9999961539
0.4,0.6,<-,0.35,0.9997036398
0.4,0.6,<-,0.4,0.9999834608
0.4,0.6,<-,0.45,0.9995839029000001
0.4,0.6,<-,0.5,0.9999932726999999
0.4,0.6,<-,0.55,0.9999999979
0.4,0.6,<-,0.6,0.9999999821
0.4,0.6,<-,0.65,0.9812548122
0.4,0.6,<-,0.7,0.8461486681999999
0.4,0.6,<-,0.75,0.6195914886
0.4,0.6,<-,0.8,0.4160944131
0.4,0.6,<-,0.85,0.42104226289999996
0.4,0.6,<-,0.9,0.2178554795
0.4,0.6,<-,0.95,0.2647224132
alpha,beta,direction,x,y
0.4,0.8,->,0.0,0.9965889711
0.4,0.8,->,0.05,0.9999999994
0.4,0.8,->,0.1,0.9978353423999999
0.4,0.8,->,0.15,0.9999999967000001
0.4,0.8,->,0.2,0.9994023261
0.4,0.8,->,0.25,0.9998038784000001
0.4,0.8,->,0.3,0.9999999437999999
0.4,0.8,->,0.35,0.9999964828
0.4,0.8,->,0.4,0.9989516087
0.4,0.8,->,0.45,0.9976230362999999
0.4,0.8,->,0.5,0.9999995242
0.4,0.8,->,0.55,0.9994101187000001
0.4,0.8,->,0.6,0.9999999104999999
0.4,0.8,->,0.65,0.9999999993
0.4,0.8,->,0.7,0.9480240298999999
